Id,Element,Language,Meaning,Frequency
1839,Pinna,Old English,Masculine personal name.,1
1840,pynd,Old English,"An enclosure, a pound.",1
1841,plysc,Old English,A pool.,1
1842,dēofol,Old English,A devil,1
1843,the Devil.,Modern English,,1
1844,Pēof,Old English,Masculine personal name.,1
1845,Poc,Old English,Masculine personal name.,1
1846,Poca,Old English,Masculine personal name.,1
1847,pocca,Old English,A frog.,2
1848,swelle,Old English,A swelling,6
1849,"topographically a rising piece of ground, a hill.",Modern English,,6
1850,Punt,Old English,Masculine personal name.,1
1851,Prym,Old English,Masculine personal name.,1
1852,Pride,Modern English,,1
1853,Personal,name (Uncertain) Unknown,Personal name,1
1854,Pulein,Modern English,,1
1855,Purs,Modern English,,1
1856,Puda,Old English,Masculine personal name.,1
1857,Quarel,Modern English,,1
1858,quarrere,Middle English,A quarry.,3
1859,hrēodig,Old English,"Reedy, growing with reeds.",1
1860,hramsa,Old English,Wild garlic.,11
1861,Hremn,Old English,Masculine personal name.,2
1862,Iwerne,Modern English,,1
1863,Personal,name (Uncertain) Unknown,Personal name,1
1864,Randulf,Modern English,,1
1865,hring,Old English,"A ring, a circle",9
1866,something circular.,Modern English,,10
1867,Radulf,Continental Germanic,Masculine personal name.,1
1868,reef,Modern English,"A narrow ridge or chain of rocks, shingle, or sand, lying at or near the surface of the water.",1
1869,riff Modern English,Modern English,,1
1870,Hall Modern English,Modern English,,1
1871,Revel,Modern English,,1
1872,hring-stede,Old English,The site of a ring,1
1873,a circular place.,Modern English,,1
1874,hringe,Old English,A ring,1
1875,perhaps used topographically of a salt-pan.,Modern English,,1
1876,gærs-tūn,Old English,"A grass enclosure, a paddock.",2
1877,ryge,Old English,Rye.,21
1878,atte,Modern English,,1
1879,atter,Middle English,At the: used with feminine nouns.,1
1880,Rǣdel,Old English,Masculine personal name.,1
1881,Rǣdla,Old English,Masculine personal name.,1
1882,hrung,Old English,"A rung, a staff, a pole.",5
1883,intrinseca,Latin,Lying within the bounds.,1
1884,Orcas,Modern English,,1
1885,Sceaft,Old English,Masculine personal name.,1
1886,Champaigne,Modern English,,1
1887,Plecy,Modern English,,2
1888,carn Celtic,Modern English,,1
1889,castel,Middle English,"A large defensive building, a stronghold, a castle",1
1890,Sherborne,Modern English,,2
1891,Sher,Modern English,,1
1892,Schelin,Modern English,,1
1893,Personal,name (Uncertain) Unknown,Personal name,1
1894,scitere,Old English,"Possibly a sewer, a channel or stream used as an open sewer.",1
1895,Shitter,Modern English,,1
1896,Seaxe,Old English,The Saxons,8
1897,usually denoting isolated settlements of Saxons among other tribes.,Modern English,,8
1898,Sixpenny,Modern English,,1
1899,slæget,Old English,A sheep pasture.,2
1900,smēðe,Old English,"Smooth, level.",2
1901,plek,Middle English,A small plot of ground.,2
1902,snād,Old English,"Something cut off, a detached piece of land or woodland.",2
1903,Snell,Old English,Masculine personal name.,1
1904,Snelling,Modern English,,1
1905,Speoht,Old English,Masculine personal name.,1
1906,speoht,Old English,The green wood-pecker.,3
1907,Stalbridge,Modern English,,1
1908,busc,Old English,"A bush, a shrub.",2
1909,Preston,Modern English,,1
1910,sticol,Old English,Steep.,3
1911,stint,Old English,"A sand-piper, a dunlin.",3
1912,Wyke,Modern English,,1
1913,Coilard,Modern English,,1
1914,Gaylard,Modern English,,1
1915,Cosin,Modern English,,1
1916,stot,Old English,"A horse, an ox.",1
1917,Stotting,Old English,Masculine personal name.,1
1918,Pratellis,Modern English,,1
1919,Preus,Modern English,,1
1920,Payn,Modern English,,1
1921,Haddon,Modern English,,1
1922,Malherbe,Modern English,,1
1923,Stourton,Modern English,,1
1924,strōd,Old English,Marshy land overgrown with brushwood. (Recorded only in charter-boundaries and Old English place-name spellings.),4
1925,Strode,Modern English,,1
1926,stybb,Old English,"A stub, a tree-stump.",2
1927,Poyntz,Modern English,,1
1928,Waleran,Modern English,,1
1929,swān,Old English,"A herdsman, a swine-herd, a peasant.",2
1930,hnoll,Old English,The top of the head,1
1931,Tāda,Old English,Masculine personal name.,1
1932,tādige,Old English,A toad.,5
1933,Tāta,Old English,Masculine personal name.,2
1934,Crawford,Modern English,,1
1935,Goundevile,Modern English,,1
1936,Cahaignes,Modern English,,1
1937,Lēofwine,Old English,Masculine personal name.,1
1938,de Antioch,Modern English,,1
1939,Rawston,Modern English,,1
1940,Personal,name (Uncertain) Unknown,Personal name,1
1941,Rusceaus,Modern English,,1
1942,Vilers,Modern English,,1
1943,Totta,Old English,Masculine personal name.,1
1944,þyrnet,Old English,A thorn copse.,1
1945,bolla,Old English,A bowl,2
1946,topographically perhaps a bowl-shaped depression or hollow.,Modern English,,2
1947,tūnincel,Old English,A small estate.,1
1948,tȳnincel,Old English,Small farms.,1
1949,Tota,Old English,Masculine personal name.,1
1950,Farnham,Modern English,,1
1951,Tollard,Modern English,,1
1952,frāter,Latin,"A brother, a friar, a member of a religious or military order.",1
1953,Personal,name (Old Norse) Old Norse,Personal name,1
1954,Trent Celtic,Modern English,,2
1955,tyrl,Old English,"That which turns, rolls, or trundles along.",1
1956,Turner,Modern English,,1
1957,tige,Old English,A goat.,4
1958,Udd,Old English,Masculine personal name.,1
1959,Udda,Old English,Masculine personal name.,1
1960,ūle,Old English,An owl.,6
1961,Bayhouse,Modern English,,1
1962,Hamundevill,Modern English,,1
1963,Pigace,Modern English,,1
1964,Rabayne,Modern English,,1
1965,bois,Old French,A wood.,1
1966,vikere,Middle English,A vicar.,1
1967,wacu,Old English,"A watch, a wake.",7
1968,walt Old English,Modern English,,1
1969,elm Modern English,Modern English,,1
1970,wǣr Old English,Modern English,,4
1971,wearm,Old English,Warm.,2
1972,Walter,Middle English,Masculine personal name.,1
1973,Wedera,Old English,Masculine personal name.,1
1974,Chaldon,Modern English,,1
1975,forst,Old English,"A ridge, a hill.",3
1976,Forst,Old English,Masculine personal name.,1
1977,Lulworth,Modern English,,1
1978,wudig,Old English,Wooded.,4
1979,westan,Old English,"West, west of.",3
1980,canonicus,Latin,"A canon, a member of a community of clerks or of a cathedral chapter.",3
1981,þrote,Old English,The throat,2
1982,used in place-names in some undetermined sense.,Modern English,,2
1983,Wihtlāf,Old English,Masculine personal name.,1
1984,Wihtlufu,Old English,Feminine personal name.,1
1985,Willic,Old English,Masculine personal name.  (Diminutive of Willa.),1
1986,Wuduc,Old English,Masculine personal name.,1
1987,Malemains,Modern English,,1
1988,River-name,Old English,A River-name.,1
1989,frud Celtic,Modern English,,2
1990,Newburgh,Modern English,,1
1991,wïnn Celtic,Modern English,,1
1992,Came,Modern English,,1
1993,Clench,Modern English,,1
1994,Farringdon,Modern English,,1
1995,Germeyn,Modern English,,1
1996,Beuchamp,Modern English,,1
1997,Fercles,Modern English,,1
1998,Hugh,Modern English,,1
1999,Personal,name (Uncertain) Unknown,Personal name,1
2000,Personal,name (Uncertain) Unknown,Personal name,1
2001,Musters,Modern English,,1
2002,Pegg,Modern English,,1
2003,Thomas,Modern English,,1
2004,Personal,name (Uncertain) Unknown,Personal name,1
2005,albus,Latin,White.,2
2006,blanche,Middle English,White,1
2007,bare.,Modern English,,1
2008,monasterium,Modern English,,1
2009,moustier,Modern English,,1
2010,Rocheford,Modern English,,1
2011,de Seles,Modern English,,1
2012,Maureward,Modern English,,1
2013,wise,Old English,"A river, a swamp.",1
2014,Wulfa,Old English,Masculine personal name.,1
2015,Wulfmǣr,Old English,Masculine personal name.,1
2016,rāw,Old English,"A row, a row of trees, a row of houses",3
2017,"a street lined with houses, a hamlet.",Modern English,,3
2018,Strangeways,Modern English,,1
2019,wierde Old English,Modern English,,1
2020,Wīgheard,Old English,Masculine personal name.,1
2021,Cottages,Modern English,,1
2022,widuwe,Old English,A widow.,1
2023,Wool,Modern English,,1
2024,Wulfgār,Old English,Masculine personal name.,2
2025,Glanville,Modern English,,1
2026,Wulfrūn,Old English,Feminine personal name.,1
2027,wearg-rōd,Old English,"A gallows, a scaffold.",1
2028,wrocc,Old English,"A bird of prey, probably a buzzard.",7
2029,Oliver,Modern English,,1
2030,Windel,Old English,Masculine personal name.,1
2031,Wych,Old English,River-name.,1
2032,hēafod-stocc,Old English,"A head stock, the post on which the head of a beheaded criminal was exposed.",1
2033,Personal,name (Old Norse) Old Norse,Personal name,1
2034,archedeken,Middle English,An archdeacon.,1
2035,alt C,Modern English,,2
2036,castel,Middle English,"A large defensive building, a stronghold, a castle",1
2037,Personal,name (Uncertain) Unknown,Personal name,1
2038,sīde,Old English,A side,1
2039,billing,Old English,"A hill, a prominence, a promontory, a ridge.",14
2040,binn,Old English,"A manger, stall.",2
2041,bol,Old English,"A smooth, rounded hill.",5
2042,bola,Old English,"A tree-trunk, a log, a plank.",5
2043,bolr,Old Norse,A tree-trunk,2
2044,"perhaps also a log, a plank.",Modern English,,2
2045,bole,Middle English,A tree-trunk.,2
2046,pæð Old English,Modern English,,7
2047,Personal,name (Old Norse) Old Norse,Personal name,1
2048,bȳre,Old English,"A byre, a cow-shed.",6
2049,cēap,Old English,"Trade, merchandise, a market.",3
2050,Personal,name (Old Norse) Old Norse,Personal name,1
2051,cald,Middle English,Cold.,4
2052,colere,Old English,A charcoal burner.,1
2053,cūpe,Old English,"A coop, a basket (for catching fish).",2
2054,þicce,Old English,"A thicket, dense undergrowth.",1
2055,ēde-mann,Old English,A shepherd.,1
2056,ellern,Old English,An elder-tree.,6
2057,elfitu Old English,Modern English,,9
2058,edisc,Old English,"An enclosure, an enclosed park.",10
2059,efen,Old English,"Even, flat, level.",5
2060,fisc,Old English,A fish.,7
2061,fram,Old English,"Vigorous, strong.",1
2062,gata,Old Norse,"A road, a street",8
2063,a right of way,Modern English,,8
2064,a right of access to pasture-land,Modern English,,8
2065,a right of pasturage,Modern English,,8
2066,an allotment of pasture.,Modern English,,8
2067,gegn,Old English,Direct.,1
2068,æpplen,Old English,Growing with apple-trees,1
2069,yielding apples.,Modern English,,1
2070,lumm,Old English,A pool.,1
2071,hamstra,Old English,A corn-weevil.,1
2072,hēope,Old English,"The fruit of the wild rose, a hip.",9
2073,hurð,Old English,"A hurdle, a wickerwork frame.",1
2074,Personal,name (Old Norse) Old Norse,Personal name,1
2075,celf Old English,Modern English,,4
2076,Personal,name (Old Norse) Old Norse,Personal name,1
2077,cnycc,Old English,"A knitch, a bundle, a sheaf or faggot.",1
2078,Scott,Old English,A Scot.,8
2079,Personal,name (Uncertain) Unknown,Personal name,1
2080,sōfte,Old English,"Soft, yielding, agreeable.",1
2081,Personal,name (Uncertain) Unknown,Personal name,1
2082,māra,Old English,Greater.,1
2083,midlest,Old English,Middlemost.,2
2084,mid,Old English,"Among, amidst.",5
2085,Personal,name (Uncertain) Unknown,Personal name,1
2086,nesu,Old English,A nose,2
2087,"a headland, a promontory, a projecting piece of land in the bend of a river.",Modern English,,4
2088,bita,Old English,"A morsel, piece.",2
2089,feld,Middle English,Land for pasture or cultivation.,1
2090,neue,Middle English,New.,2
2091,beau,lieu Old French,French place-name: a beautiful place.,1
2092,Personal,name (Old Norse) Old Norse,Personal name,1
2093,pele,Middle English,A triangular feature.,1
2094,persc,Old English,"A twig, an osier.",2
2095,plega,Old English,"Play, sport",3
2096,"used of a place for games, or a courtship or mating-place for animals.",Modern English,,3
2097,hrēof,Old English,"Rough, rugged.",4
2098,berg,Old Norse,"A hill, a mountain.",6
2099,sate,Old Norse,A flat piece of ground.,1
2100,set-berg,Old Norse,A flat-topped hill.,2
2101,sǣt,Old Norse,"A lurking place, a lair",2
2102,a trap.,Modern English,,3
2103,sling,Old English,"A loop, noose, snare",1
2104,Personal,name (Old Norse) Old Norse,Personal name,1
2105,scheling,Middle English,A shieling.,3
2106,stelling Old English,Modern English,,3
2107,strand,Old English,"Land at the edge of a piece of water, esp. the sea",4
2108,"a shore, a bank.",Modern English,,4
2109,sumor-hūs,Old English,A summer residence.,1
2110,Personal,name (Old Norse) Old Norse,Personal name,1
2111,Personal,name (Old Norse) Old Norse,Personal name,1
2112,Personal,name (Old Norse) Old Norse,Personal name,1
2113,tūn-stall,Old English,"The site of a farm, a farmstead.",11
2114,ūr,Old English,A bison.,2
2115,wācor,Old English,"An osier, a willow twig, wicker.",2
2116,hwæs,Old English,"Sharp, pointed, narrow.",2
2117,cwic,Old English,A quickset hedge.,2
2118,bere-ærn,Old English,"A barn, a storehouse for barley and other grain.",6
2119,byrgen,Old English,"A burial place, a grave, a tumulus.",4
2120,wind-geat,Old English,A windy gap.,2
2121,ge-ǣled,Old English,Burnt.,1
2122,eard,Old English,A native place.,1
2123,Personal,name (Old Norse) Old Norse,Personal name,1
2124,assa,Old English,"An ass, a donkey.",1
2125,Personal,name (Uncertain) Unknown,Personal name,1
2126,byrde,Old English,"A border, an edge, a bank.",3
2127,mēos,Old English,Moss,4
2128,a mossy place or mossy river.,Modern English,,4
2129,Personal,name (Uncertain) Unknown,Personal name,1
2130,Personal,name (Uncertain) Unknown,Personal name,1
2131,bor,Old English,"A hill, an eminence.",2
2132,bucca,Old English,A he-goat.,15
2133,cīcen,Old English,A chicken.,2
2134,ceg Old English,Modern English,,2
2135,scingol,Old English,A shingle.,2
2136,anger,Old English,"Grassland, pasture land.",7
2137,Crist,Old English,Christ.,3
2138,colonia,Latin,"Colonial town, settlement.",3
2139,crike,Middle English,"A creek, an inlet.",1
2140,cærsing,Old English,"A place where cress grows, a cress-bed.",3
2141,corte,Old English,"A short plot of ground, a piece of land cut off.",2
2142,til,Old English,"Useful, good.",6
2143,elmen,Old English,Near or growing with elm-trees,2
2144,made of elm.,Modern English,,2
2145,yppe Old English,Modern English,,4
2146,falca Old English,Modern English,,1
2147,finger,Old English,Finger.,1
2148,eorðe,Old English,"Earth, soil, ground",2
2149,a plot of ground.,Modern English,,2
2150,friðen,Old English,"Protected, safe, secure.",2
2151,gorst,Old English,"Gorse, furze.",1
2152,gold,Old English,Gold.,1
2153,eowestre,Old English,A sheep-fold.,3
2154,þurruc,Old English,The bilge of a ship.,3
2155,bracu,Old English,"Bracken, fern.",1
2156,clacc,Old English,"A hill, a peak.",6
2157,māwe,Old English,A meadow.,1
2158,horc,Old English,A shelter (possibly).,2
2159,horsc,Old English,"Foul, dirty.",1
2160,wereð,Old English,A marsh. (Probably),1
2161,peren,Old English,Growing with pears,1
2162,"used substantively of a place where pears grow, a pear-orchard.",Modern English,,1
2163,wacol,Old English,"Watchful, vigilant, watching.",1
2164,gild,Old English,"A sacrifice, an idol, worship",1
2165,"a tax, a payment",Modern English,,1
2166,a guild.,Modern English,,1
2167,tīege Old English,Modern English,,1
2168,hald Old English,Modern English,,5
2169,here,Old English,An army.,8
2170,gor,Old English,"Dirt, dung, filth.",6
2171,bune,Old English,A reed.,6
2172,lagu,Old English,"The sea, flood, water.",1
2173,altus,Latin,High.,2
2174,hocc,Old English,"A hock, a mallow.",3
2175,hornede,Old English,Provided with gables.,1
2176,ston,Middle English,Stone.,1
2177,Personal,name (Uncertain) Unknown,Personal name,1
2178,cylu,Old English,"Spotted, speckled.",1
2179,læcen,Old English,Abounding in water-channels,1
2180,having well-watered ground. (Uncertain.),Modern English,,1
2181,lēaden,Old English,Leaden (usually referring to lead roofing).,1
2182,leax,Old English,A salmon.,1
